File Name,LOC,Number of Comments,Comment %
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\CloneInstanceMapper.java,690,29,4
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\CloneRefactoringType.java,12,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\CloneStructureNode.java,499,5,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\CloneType.java,12,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\CodeFragmentDecomposer.java,99,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\CompleteSubTreeMatch.java,70,1,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\ControlDependenceTreeGenerator.java,201,11,5
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\ControlDependenceTreeNode.java,375,3,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\ControlDependenceTreeNodeMatchPair.java,127,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\ControlDependenceTreeNodeMatchPairComparator.java,24,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\DivideAndConquerMatcher.java,1475,25,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\ExtractStatementsVisitor.java,162,1,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\IdBasedGap.java,43,1,2
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\IdBasedMapping.java,18,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\IdenticalStatementDecomposer.java,33,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\MappingState.java,594,7,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\NodeMapping.java,142,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGEdgeMapping.java,77,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGElseGap.java,55,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGElseMapping.java,56,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGMapper.java,156,2,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGNodeGap.java,96,1,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGNodeMapping.java,261,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGRegionSubTreeMapper.java,115,1,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\PDGSubTreeMapper.java,98,1,1
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\BoldStyler.java,12,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\DualExpressionPreconditionViolation.java,81,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\DualExpressionWithCommonSuperTypePreconditionViolation.java,95,0,0
G:\MetricsToolGIT\JDeodorant-master\src\gr\uom\java\ast\decomposition\cfg\mapping\precondition\ExpressionPreconditionViolation.java,37,0,0
